year,rank,nation,gold,silver,bronze,total,all_total,all_gold,all_silver,all_bronze,prop_total,prop_gold,prop_silver,prop_bronze
1990,7,Pakistan,4,1,7,12,983,313,312,358,0.012207527975584944,0.012779552715654952,0.003205128205128205,0.019553072625698324
1990,8,Indonesia,3,6,21,30,983,313,312,358,0.030518819938962362,0.009584664536741214,0.019230769230769232,0.05865921787709497
1990,9,Qatar,3,2,1,6,983,313,312,358,0.006103763987792472,0.009584664536741214,0.00641025641025641,0.002793296089385475
1990,10,Thailand,2,7,8,17,983,313,312,358,0.017293997965412006,0.006389776357827476,0.022435897435897436,0.0223463687150838
1990,11,Malaysia,2,2,4,8,983,313,312,358,0.008138351983723296,0.006389776357827476,0.00641025641025641,0.0111731843575419
1990,12,India,1,8,14,23,983,313,312,358,0.023397761953204477,0.003194888178913738,0.02564102564102564,0.03910614525139665
1990,13,Mongolia,1,7,9,17,983,313,312,358,0.017293997965412006,0.003194888178913738,0.022435897435897436,0.025139664804469275
1990,14,Syria,1,0,2,3,983,313,312,358,0.003051881993896236,0.003194888178913738,0,0.00558659217877095
1990,15,Oman,1,0,0,1,983,313,312,358,0.001017293997965412,0.003194888178913738,0,0
1990,16,Chinese Taipei,0,10,21,31,983,313,312,358,0.03153611393692777,0,0.03205128205128205,0.05865921787709497
1990,17,Hong Kong,0,2,5,7,983,313,312,358,0.007121057985757884,0,0.00641025641025641,0.013966480446927373
1990,18,Sri Lanka,0,2,1,3,983,313,312,358,0.003051881993896236,0,0.00641025641025641,0.002793296089385475
1990,19,Singapore,0,1,4,5,983,313,312,358,0.00508646998982706,0,0.003205128205128205,0.0111731843575419
1990,20,Bangladesh,0,1,0,1,983,313,312,358,0.001017293997965412,0,0.003205128205128205,0
1990,21,Laos,0,0,1,1,983,313,312,358,0.001017293997965412,0,0,0.002793296089385475
1990,NA,Macau,0,0,1,1,983,313,312,358,0.001017293997965412,0,0,0.002793296089385475
1990,NA,Myanmar,0,0,1,1,983,313,312,358,0.001017293997965412,0,0,0.002793296089385475
1990,NA,Nepal,0,0,1,1,983,313,312,358,0.001017293997965412,0,0,0.002793296089385475
1990,NA,Saudi Arabia,0,0,1,1,983,313,312,358,0.001017293997965412,0,0,0.002793296089385475
1994,1,China,125,83,58,266,1081,335,335,411,0.24606845513413506,0.373134328358209,0.24776119402985075,0.1411192214111922
1994,2,Japan,64,75,79,218,1081,335,335,411,0.20166512488436633,0.191044776119403,0.22388059701492538,0.1922141119221411
1994,3,South Korea,63,56,64,183,1081,335,335,411,0.1692876965772433,0.1880597014925373,0.16716417910447762,0.15571776155717762
1994,4,Kazakhstan,25,26,26,77,1081,335,335,411,0.07123034227567067,0.07462686567164178,0.07761194029850746,0.06326034063260341
